Item Code,Group Code,Item Name,Barcode/Print Name,Company,Quality,Unit,Opening Qty,Opening Value,Min Level,Reorder Level,Fixed Sale Rate,Fixed Purchase Rate,Wholesale Rate,Purchase Rate,Cost Rate A,Cost Rate B,Cost Rate C,HSN Code,GST %,Box,Cut,Mark,Date,Active
1,RAMNAMA,Ram Ram G,Ram Ram G,Sst,,P,0,0,0,0,19.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
2,RAMNAMA,Casino (Pcs),Casino (Pcs),Sst,,P,0,0,0,0,27.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
3,RAMNAMA,Shree,Shree,Sst,,P,0,0,0,0,29.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
4,RAMNAMA,Jai Shree Ram (Pcs),Jai Shree Ram (Pcs),Sst,,P,0,0,0,0,48.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
5,RAMNAMA,Casino (Chowka),Casino (Chowka),Sst,,P,0,0,0,0,99.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
6,RAMNAMA,Jai Shree Ram (Chowka),Jai Shree Ram (Chowka),Sst,,P,0,0,0,0,171.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
7,POPLIN,Classic (98L Than),Classic (98L Than),Af,,M,0,0,0,0,34.75,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
8,POPLIN,Blueberry (98L Than),Blueberry (98L Than),Af,,M,0,0,0,0,42.25,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
9,POPLIN,Gem (100L Than),Gem (100L Than),Af,,M,0,0,0,0,39.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
10,POPLIN,Dancing Doll (100L Than),Dancing Doll (100L Than),Af,,M,0,0,0,0,42.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
11,POPLIN,Orchid (100L Than),Orchid (100L Than),Af,,M,0,0,0,0,54.5,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
12,POPLIN,Gelly (100L Than),Gelly (100L Than),Af,,M,0,0,0,0,57.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
13,POPLIN,Atlas,Blueberry (98L Than),Af,,M,0,0,0,0,35.75,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
14,POPLIN,Gadar (Screen),Blueberry (98L Than),Af,,M,0,0,0,0,40.25,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
15,POPLIN,Lilly (Screen),Blueberry (98L Than),Af,,M,0,0,0,0,42.25,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
16,POPLIN,Mysa (Screen),Blueberry (98L Than),Af,,M,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
17,POPLIN,Aaradhana,Classic (98L Than),Af,,M,0,0,0,0,34.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
18,POPLIN,Victoria (The Mumbai Mills),Classic (98L Than),Af,,M,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
19,POPLIN,Bmw,Dancing Doll (100L Than),Af,,M,0,0,0,0,41.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
20,POPLIN,Century,Dancing Doll (100L Than),Af,,M,0,0,0,0,43.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
21,POPLIN,Gold (Dd),Dancing Doll (100L Than),Af,,M,0,0,0,0,40.5,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
22,POPLIN,Saheli Gold (Screen),Dancing Doll (100L Than),Af,,M,0,0,0,0,41.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
23,POPLIN,Lilly,Gelly (100L Than),Af,,M,0,0,0,0,57.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
24,POPLIN,Lilly (B S Mills),Gelly (100L Than),Af,,M,0,0,0,0,62.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
25,POPLIN,Rasili (B S Mills),Gelly (100L Than),Af,,M,0,0,0,0,57.5,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
26,POPLIN,Venus (Ctc India),Gelly (100L Than),Af,,M,0,0,0,0,57.5,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
27,POPLIN,Kavita,Gem (100L Than),Af,,M,0,0,0,0,38.5,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
28,POPLIN,Laptop,Gem (100L Than),Af,,M,0,0,0,0,38.5,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
29,RAMNAMA,Tulsi,Ram Ram G,Sst,,P,0,0,0,0,17.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
30,DHOTI,Ps 510,Ps 510,Atc,,P,0,0,0,0,175.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
31,DHOTI,Rajbhog,Ps 510,Atc,,P,0,0,0,0,170.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
32,DHOTI,Ps 550,Ps 550,Atc,,P,0,0,0,0,195.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
33,DHOTI,Asli Neelam,Ps 550,Atc,,P,0,0,0,0,185.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
34,DHOTI,Ps 850,Ps 850,Atc,,P,0,0,0,0,225.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
35,DHOTI,Saccha Sukh,Ps 850,Atc,,P,0,0,0,0,215.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
36,DHOTI,Ps 1050,Ps 1050,Atc,,P,0,0,0,0,290.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
37,DHOTI,Ps 1250,Ps 1250,Atc,,P,0,0,0,0,345.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
