Station/City,Status Code
Ahmedabad,S
Amritsar,S
Bajitpur,C
Balotra,S
Barachakia,C
Basopatty,C
Bettiah,C
Bhilwara,S
Biraul,C
Burhanpur,S
Chennimalai,S
Dalsingsarai,C
Darbhanga,C
Deoria Kothi,C
Erode,S
Ghoghardiha,C
Gorakhpur,C
Gorakhpur,S
Goraul,C
Ichalkaranji,S
Indore,S
Islampur,C
Jainagar,C
Jandaha,C
Jetpur,C
Jetpur,S
Jhanjharpur,C
Khutauna,C
Kolkata,S
Kurhani,C
Laukaha,C
Ludhiana,S
Madhuban,C
Madhubani,C
Mahua,C
Mathura,S
Motihari,C
Motipur,C
Mumbai,S
Muzaffarpur,C
Nawada,C
Nirmali,C
Pali-Marwar,S
Panipat,S
Pathrahi,C
Pupri,C
Raiganj,C
Runni Saidpur,C
Sakra,C
Samastipur,C
Sarfuddinpur,C
Simri,C
Sitamarhi,C
Sujawalpur,C
Surat,S
Tajpur,C
Tamkuhi Road,C
Vidhyapati Nagar,C
Laheriasarai,C
Kishanganj,
Hajipur,C
Bargania,C
Bhiwandi,S
Madhepur,
Madhvapur,C
Raxaul,
Sultanganj,
Bhagalpur,
Chapra,
Jaipur,
Saroli,
