Transport Name,Bills FY
Guru Om Carrier,0
Ritco (Rajdhani Inte,0
Goodluck Courier,0
Mata Transport,332
Narayani Logistic,0
Ctc Eco,0
East India Transport,198
Jai Maa Bhaw,0
Azad Transport,338
Ner,10
Sai Baba Transport,94
Maa Kali,2
Necc Transport,75
Sbcc (Supreme Bihar),0
Sugam Pariwa,0
Suraj Transport,10
Jai Mata Di,0
Pasupati Transport,387
On Train Cargo Servi,131
Great East,0
Mithila,0
Ambaji,10
Gandhi,0
Sri Khatu Shyam Carg,243
Delhi Gkp,0
Vrc,0
Vrl Logistic,0
Tridev Express,0
Balaji,0
Dhillon Freight,3
Yadav,0
Safe Express,0
Tridev Cargo,0
Jai Dev Cargo,0
Associated Road Carr,0
Regal Movers,0
Nayak Transport,0
Sri Shyam Express,204
New Dhillon,0
Necc+Eita,0
Radhey,0
Brij Bhumi Triveni,0
Sri Shalasar Cargo,7
Gera,0
Narayan,0
Tci,0
Bengal Jhark,0
Mehta Interstate,125
Hajipur,0
Jharkhand Be,0
Sky King,0
Aanchal Logistic,359
Maa Rudra,3
Shyam Roadline,3
Rk Transport,214
Guru Kripa,0
Direct,0
Hand To Hand,0
Narayani,0
Vaishali Road Carrie,0
Ministry Of Railways,0
Tapti Ganga,0
Ctc Insta,0
Raju Transport,0
Local,3
Apollo,0
Tulsi Road Line,3
Shiv Shakti,0
--------------,2
Choudhary Transport,0
Shree Bajrangbali Ca,0
S G Cargo,0
Lav Kush Trasport,0
Transco Transport,1
Royal Roadways,0
Regency Carrier,0
Jai Hanuman Carrier,0
New Royal Roadways,0
Bhagirathi,0
Kataria,0
Great X,0
Jai Logistic,0
Nanku Transport Serv,0
Safe & Secure,0
Gandhi Roadline,3
Post Master Surat,0
Pankaj Vimal,1
Indian Freight,0
Padam Shri,0
Rail Gati,0
Kiran Cargo,1
Azad Cargo,10
Azad Transolution,15
N.E.C.C.,0
M.A.T.A.,0
Azad,0
Atharva,0
Pashupati,0
Blue  Durt,0
Sai Baba,0
Eist India,0
Suraj,0
